SAT每日词汇对照表

SAT连载小说版本2 — Chapters 5-16 重点词汇
共计12天（章节），每天约35-45个SAT必背单词，词义符合SAT常见释义

Chapter 15 — The New Coordinates
本章SAT词汇数: 51 个
immersed	frenetic	negotiations
trembling	suppressed	vulnerable
exploited	adequately	assert
dominance	specialty	insecure
scrutinize	deflecting	deficiencies
appreciation	perceptive	insight
incisive	exasperating	reconfigured
migrated	precipitated	obscure
fragility	alliances	affiliations
dissolve	tenuous	atrium
oblique	expeditiously	constrict
protective	commodified	currency
characteristic	diagnose	clinical
embellishment	malice	symptom
spectacles	conspicuous	manifestation
narrowing	transparency	liability
secrecy	commodity	suspect
opaque	threatening	labyrinth
obligations	honest	respite
translucent		

Chapter 13 — Fractures and Mending
本章SAT词汇数: 64 个
plummet	cascading	abbreviated
ecosystem	seasonal	undisputed
arbiters	cachet	fragment
defected	ostensibly	covertly
excluded	coalition	cohesive
tenuous	proximity	genuine
affinity	detached	agonized
dynamics	scrutinized	criteria
urgent	sustaining	struggling
periphery	firmness	confidence
emerging	transformed	transformation
subtle	unmistakable	diligent
anxiety	innate	steadier
self-possession	terrified	uncertain
thesis	genuine	solidarity
performative	enthusiasm	consistency
unusually	tentative	considerate
mature	avoiding	discomfort
communicating	coasting	superficial
articulate	inadequate	compelling
softening	resentment	stinging
contemplative		

Chapter 16 — The Unfinished Story
本章SAT词汇数: 46 个
meticulous	slanted	elliptical
allusive	imagery	hovered
obscurity	revelation	arrested
incongruities	smooth	monolith
collage	fragmented	contradictory
fling	brittle	gradual
emergence	catalyzed	imperfectly
sincerely	fortitude	sustaining
turbulent	envisioned	endure
dissipate	deepen	transform
void	threatening	vast
unpredictable	variables	calculate
terrified	performed	curated
conceal	authentic	visible
minuscule	suspended	immense
thresholds		

Chapter 14 — The Bridge
本章SAT词汇数: 51 个
collective	frenzy	permeated
perpetually	annotated	indifferent
concentrated	focus	validation
demonstrate	accuse	inadequacy
intrinsic	curiosity	subtle
significant	unorthodox	annotated
intriguing	conventional	trajectory
substantial	evolving	miserable
guarded	criticized	accurate
catastrophic	gradual	unraveling
defenses	softer	receptive
truce	delicate	intrusive
exasperating	dimension	bereavement
fragile	adequate	wistful
contemplative	provoke	landed
epiphany	startling	inevitable
encourage	adjusted	affixed

Chapter 12 — The Aftermath
本章SAT词汇数: 49 个
surreal	relief	cathartic
disorientation	parameters	subtly
recalibrated	coordinates	tentative
concise	sincere	significant
impersonating	shield	conceal
vulnerabilities	intact	paradox
voicemail	defiance	liberating
guilty	governing	parental
equanimity	admirable	exasperating
bridge	lingered	battleground
contest	autonomy	adversarial
assert	alienating	atmosphere
charged	guarded	hostile
integrity	unwillingness	uncertain
liberation	confinement	steady
imperceptibly	resolution	tentative
fragile		

Chapter 9 — The Unspoken Border
本章SAT词汇数: 88 个
deliberate	notification	benign
perceptive	evasion	conspicuously
posture	unmistakable	intervention
measured	undercurrent	concern
evaluation	activate	instinctive
fortification	inscrutable	anxiety
candid	prudent	distracted
unyielding	overwhelming	derail
entanglements	diminishment	genuine
mutual	precarious	indignation
parental	conviction	critical
juncture	consequential	sanction
jeopardize	articulate	liberation
futility	perpetual	constricted
inadequate	monolithic	advise
retrospectively	regret	dissonance
vulnerability	stability	turbulence
shield	authenticity	insightfulness
unassuming	profundity	captivated
voicemail	defiance	liberating
guilty	governing	parental
equanimity	admirable	exasperating
bridge	lingered	battleground
contest	autonomy	adversarial
assert	alienating	atmosphere
charged	guarded	hostile
integrity	unwillingness	uncertain
liberation	confinement	steady
imperceptibly	resolution	tentative
fragile		

Chapter 10 — The Fear of Being Seen
本章SAT词汇数: 79 个
deliberate	collaborate	turbulent
convergence	dread	oscillating
erratic	ribbon	minuscule
faded	shift	unspoken
truce	implicit	relics
transformed	semicircle	calibrated
engrossed	anticipation	grazing
understated	reassuring	characteristically
anxiety	recede	unremarkable
derivative	commendable	shifted
perceptibly	polished	articulate
assurance	reluctant	clear-eyed
podium	interminable	obliterated
terrifying	impulse	retreat
abbreviate	formulaic	uncharacteristic
solidarity	unfailing	palpable
saturated	unspoken	inadequate
fundamental	fraudulent	imposter
clinical	exhaustion	curating
flawless	loneliness	concealing
fa?ade	paradox	vulnerability
disposable	antithesis	prerequisite
curated	perfected	uncertain
becoming	threshold	suspended
perfunctory	genuine	sustained
exhilarating	annihilated	admiration
contrition		

